"Step","wild-sweep-1 - language_score","wild-sweep-1 - language_score__MIN","wild-sweep-1 - language_score__MAX"
"2","0.15908026609924897","0.15908026609924897","0.15908026609924897"
"5","0.21709062832513568","0.21709062832513568","0.21709062832513568"
"8","0.1773482089753794","0.1773482089753794","0.1773482089753794"
"11","0.2538474115504367","0.2538474115504367","0.2538474115504367"
"14","0.16119263264746525","0.16119263264746525","0.16119263264746525"
"17","0.17310366634735133","0.17310366634735133","0.17310366634735133"
"20","0.2382384755569183","0.2382384755569183","0.2382384755569183"
"23","0.23033165877269546","0.23033165877269546","0.23033165877269546"
"26","0.19236183837298187","0.19236183837298187","0.19236183837298187"
"29","0.169091283925975","0.169091283925975","0.169091283925975"
"32","0.19924922312256207","0.19924922312256207","0.19924922312256207"
"35","0.1955405164322429","0.1955405164322429","0.1955405164322429"
"38","0.256144264498246","0.256144264498246","0.256144264498246"
"41","0.19411209891912637","0.19411209891912637","0.19411209891912637"
"44","0.20675592218049235","0.20675592218049235","0.20675592218049235"
"47","0.2004528561985806","0.2004528561985806","0.2004528561985806"
"50","0.13249642743366452","0.13249642743366452","0.13249642743366452"
"53","0.18876627574073487","0.18876627574073487","0.18876627574073487"
"56","0.19734532774660163","0.19734532774660163","0.19734532774660163"
"59","0.22887218537059456","0.22887218537059456","0.22887218537059456"
"62","0.21489039600423981","0.21489039600423981","0.21489039600423981"
"65","0.28659909162901076","0.28659909162901076","0.28659909162901076"
"68","0.1998626811835112","0.1998626811835112","0.1998626811835112"
"71","0.17844044567294629","0.17844044567294629","0.17844044567294629"
"74","0.18233573092458122","0.18233573092458122","0.18233573092458122"
"77","0.25307295518983985","0.25307295518983985","0.25307295518983985"
"80","0.2545572216068511","0.2545572216068511","0.2545572216068511"
"83","0.24629745327696334","0.24629745327696334","0.24629745327696334"
"86","0.1907148980232115","0.1907148980232115","0.1907148980232115"
"89","0.37845168816828667","0.37845168816828667","0.37845168816828667"
"92","0.22083268290821145","0.22083268290821145","0.22083268290821145"
"95","0.24827499211613208","0.24827499211613208","0.24827499211613208"
"98","0.30627748794466714","0.30627748794466714","0.30627748794466714"
"101","0.19891605479523083","0.19891605479523083","0.19891605479523083"
"104","0.19137456691318627","0.19137456691318627","0.19137456691318627"
"107","0.20926079461562713","0.20926079461562713","0.20926079461562713"
"110","0.13656999568587236","0.13656999568587236","0.13656999568587236"
"113","0.20621085241965048","0.20621085241965048","0.20621085241965048"
"116","0.19879024371120838","0.19879024371120838","0.19879024371120838"
"119","0.15810587307032276","0.15810587307032276","0.15810587307032276"
"122","0.30678034897906825","0.30678034897906825","0.30678034897906825"
"125","0.249048937012742","0.249048937012742","0.249048937012742"
"128","0.2180311913910038","0.2180311913910038","0.2180311913910038"
"131","0.2793012980184659","0.2793012980184659","0.2793012980184659"
"134","0.14901191505721037","0.14901191505721037","0.14901191505721037"
"137","0.2104948538010618","0.2104948538010618","0.2104948538010618"
"140","0.263589767451331","0.263589767451331","0.263589767451331"
"143","0.3634184988620718","0.3634184988620718","0.3634184988620718"
"146","0.171446395393678","0.171446395393678","0.171446395393678"
"149","0.2679233482179491","0.2679233482179491","0.2679233482179491"
"152","0.23445947081175075","0.23445947081175075","0.23445947081175075"
"155","0.3246181404101456","0.3246181404101456","0.3246181404101456"
"158","0.29707604529315934","0.29707604529315934","0.29707604529315934"
"161","0.22739468340964786","0.22739468340964786","0.22739468340964786"
"164","0.24807225775465042","0.24807225775465042","0.24807225775465042"
"167","0.2966408526942831","0.2966408526942831","0.2966408526942831"
"170","0.24742666454396747","0.24742666454396747","0.24742666454396747"
"173","0.22036212031581015","0.22036212031581015","0.22036212031581015"
"176","0.24127342284263564","0.24127342284263564","0.24127342284263564"
"179","0.2682354910602606","0.2682354910602606","0.2682354910602606"
"182","0.24412535215391729","0.24412535215391729","0.24412535215391729"
"185","0.32964190443662444","0.32964190443662444","0.32964190443662444"
"188","0.2016619251942322","0.2016619251942322","0.2016619251942322"
"191","0.19624825024157938","0.19624825024157938","0.19624825024157938"
"194","0.22958864733990342","0.22958864733990342","0.22958864733990342"
"197","0.1966878807869486","0.1966878807869486","0.1966878807869486"
"200","0.1992503410665001","0.1992503410665001","0.1992503410665001"
"203","0.2293990541750787","0.2293990541750787","0.2293990541750787"
"206","0.2723768616921802","0.2723768616921802","0.2723768616921802"
"209","0.21656780792953476","0.21656780792953476","0.21656780792953476"
"212","0.23638040159644183","0.23638040159644183","0.23638040159644183"
"215","0.15447248575213782","0.15447248575213782","0.15447248575213782"
"218","0.3038473839384521","0.3038473839384521","0.3038473839384521"
"221","0.20237742229546074","0.20237742229546074","0.20237742229546074"
"224","0.1595892737556044","0.1595892737556044","0.1595892737556044"
"227","0.26371728545264056","0.26371728545264056","0.26371728545264056"
"230","0.22719972872875963","0.22719972872875963","0.22719972872875963"
"233","0.25036481077244077","0.25036481077244077","0.25036481077244077"
"236","0.2155724340098787","0.2155724340098787","0.2155724340098787"
"239","0.10244401409024385","0.10244401409024385","0.10244401409024385"
"242","0.2674510313330935","0.2674510313330935","0.2674510313330935"
"245","0.1657985692267629","0.1657985692267629","0.1657985692267629"
"248","0.1839001955775567","0.1839001955775567","0.1839001955775567"
"251","0.27638414463721916","0.27638414463721916","0.27638414463721916"
"254","0.18028010434045372","0.18028010434045372","0.18028010434045372"
"257","0.24345541673054166","0.24345541673054166","0.24345541673054166"
"260","0.21611557409458787","0.21611557409458787","0.21611557409458787"
"263","0.25764793545066744","0.25764793545066744","0.25764793545066744"
"266","0.19493308069372006","0.19493308069372006","0.19493308069372006"
"269","0.269294209573481","0.269294209573481","0.269294209573481"
"272","0.24498683408504268","0.24498683408504268","0.24498683408504268"
"275","0.19142084634927797","0.19142084634927797","0.19142084634927797"
"278","0.27750392061174733","0.27750392061174733","0.27750392061174733"
"281","0.26557359828313143","0.26557359828313143","0.26557359828313143"
"284","0.19723913868167425","0.19723913868167425","0.19723913868167425"
"287","0.248582390828688","0.248582390828688","0.248582390828688"
"290","0.17165965507485204","0.17165965507485204","0.17165965507485204"
"293","0.1911338341570189","0.1911338341570189","0.1911338341570189"
"296","0.18368347890835873","0.18368347890835873","0.18368347890835873"
"299","0.22793225221476016","0.22793225221476016","0.22793225221476016"
"302","0.1627175826177224","0.1627175826177224","0.1627175826177224"
"305","0.17988492340641993","0.17988492340641993","0.17988492340641993"
"308","0.22892764786322098","0.22892764786322098","0.22892764786322098"
"311","0.22433239354079995","0.22433239354079995","0.22433239354079995"
"314","0.14348978127138234","0.14348978127138234","0.14348978127138234"
"317","0.18436101793266516","0.18436101793266516","0.18436101793266516"
"320","0.23260838394122127","0.23260838394122127","0.23260838394122127"
"323","0.20872015434647304","0.20872015434647304","0.20872015434647304"
"326","0.24555340819808155","0.24555340819808155","0.24555340819808155"
"329","0.17377493805459593","0.17377493805459593","0.17377493805459593"
"332","0.2034277114137984","0.2034277114137984","0.2034277114137984"
"335","0.271515137870101","0.271515137870101","0.271515137870101"
"338","0.1503065448131132","0.1503065448131132","0.1503065448131132"
"341","0.17365683524811681","0.17365683524811681","0.17365683524811681"
"344","0.14406294086824684","0.14406294086824684","0.14406294086824684"
"347","0.19549868471055454","0.19549868471055454","0.19549868471055454"
"350","0.19176315904075686","0.19176315904075686","0.19176315904075686"
"353","0.2434463345681001","0.2434463345681001","0.2434463345681001"
"356","0.18605344837675372","0.18605344837675372","0.18605344837675372"
"359","0.1370395721460279","0.1370395721460279","0.1370395721460279"
"362","0.18464820964826972","0.18464820964826972","0.18464820964826972"
"365","0.13906419078937537","0.13906419078937537","0.13906419078937537"
"368","0.17699782793165225","0.17699782793165225","0.17699782793165225"
"371","0.14701436106052676","0.14701436106052676","0.14701436106052676"
"374","0.20650107538547824","0.20650107538547824","0.20650107538547824"
"377","0.09978104254478898","0.09978104254478898","0.09978104254478898"
"380","0.1993705159514669","0.1993705159514669","0.1993705159514669"
"383","0.21824110947061695","0.21824110947061695","0.21824110947061695"
"386","0.1925691498078315","0.1925691498078315","0.1925691498078315"
"389","0.17300627985982991","0.17300627985982991","0.17300627985982991"
"392","0.1832479199701128","0.1832479199701128","0.1832479199701128"
"395","0.18558812954342319","0.18558812954342319","0.18558812954342319"
"398","0.22172533370359476","0.22172533370359476","0.22172533370359476"
"401","0.14676125126368506","0.14676125126368506","0.14676125126368506"
"404","0.11180478359979101","0.11180478359979101","0.11180478359979101"
"407","0.14209392907462026","0.14209392907462026","0.14209392907462026"
"410","0.15897169012076898","0.15897169012076898","0.15897169012076898"
"413","0.17763696620022895","0.17763696620022895","0.17763696620022895"
"416","0.1892938461643375","0.1892938461643375","0.1892938461643375"
"419","0.152877188362265","0.152877188362265","0.152877188362265"
"422","0.0964092041293597","0.0964092041293597","0.0964092041293597"
"425","0.12352403696265062","0.12352403696265062","0.12352403696265062"
"428","0.12484559155436904","0.12484559155436904","0.12484559155436904"
"431","0.1438322647464445","0.1438322647464445","0.1438322647464445"
"434","0.11167569284291466","0.11167569284291466","0.11167569284291466"
"437","0.1722847927820485","0.1722847927820485","0.1722847927820485"
"440","0.25248767502203634","0.25248767502203634","0.25248767502203634"
"443","0.09255727916251633","0.09255727916251633","0.09255727916251633"
"446","0.16888970351197805","0.16888970351197805","0.16888970351197805"
"449","0.11540553645630894","0.11540553645630894","0.11540553645630894"
"452","0.15401323427106894","0.15401323427106894","0.15401323427106894"
"455","0.15126390022212835","0.15126390022212835","0.15126390022212835"
"458","0.18824948688128654","0.18824948688128654","0.18824948688128654"
"461","0.10682691652307832","0.10682691652307832","0.10682691652307832"
"464","0.18386278785154703","0.18386278785154703","0.18386278785154703"
"467","0.251721265208555","0.251721265208555","0.251721265208555"
"470","0.19337122736443196","0.19337122736443196","0.19337122736443196"
"473","0.1397548385730139","0.1397548385730139","0.1397548385730139"
"476","0.06387952575085998","0.06387952575085998","0.06387952575085998"
"479","0.08364360184957417","0.08364360184957417","0.08364360184957417"
"482","0.14848606500659078","0.14848606500659078","0.14848606500659078"
"485","0.20397994478934006","0.20397994478934006","0.20397994478934006"
"488","0.0786200591051091","0.0786200591051091","0.0786200591051091"
"491","0.1640959691580596","0.1640959691580596","0.1640959691580596"
"494","0.10586183320420697","0.10586183320420697","0.10586183320420697"
"497","0.12812728069028043","0.12812728069028043","0.12812728069028043"
"500","0.1850821895839642","0.1850821895839642","0.1850821895839642"
"503","0.13258046793969464","0.13258046793969464","0.13258046793969464"
"506","0.06320416619542965","0.06320416619542965","0.06320416619542965"
"509","0.13345685403584606","0.13345685403584606","0.13345685403584606"
"512","0.06439762384991621","0.06439762384991621","0.06439762384991621"
"515","0.107958924436629","0.107958924436629","0.107958924436629"
"518","0.08667997033212728","0.08667997033212728","0.08667997033212728"
"521","0.1446936695702422","0.1446936695702422","0.1446936695702422"
"524","0.1143155085630396","0.1143155085630396","0.1143155085630396"
"527","0.09202501382179203","0.09202501382179203","0.09202501382179203"